"Id","salary"
1,587129.091712636
2,1083487.63341523
3,599142.701238757
4,4855248.07400614
5,4546933.84742812
6,898092.899358414
7,3884765.15036275
8,676146.958553307
9,611588.742215517
10,972601.98413341
11,3073919.95916403
12,636924.008818101
13,709412.728850423
14,1902352.71963246
15,2176385.18848972
16,878628.257739309
17,640893.045647081
18,616327.887423733
19,2545672.93166254
20,2284369.48759368
21,969406.286114699
22,1409636.01944454
23,2663459.63864427
24,778290.107044665
25,1110807.77082358
26,659614.730226002
27,654489.057660928
28,1422695.85254017
29,2108938.07943745
30,591769.555575475
31,1604643.37583584
32,3095441.94162906
33,713178.888961837
34,2392496.86299492
35,638298.862808471
36,626027.072068943
37,1252340.15461002
38,6601241.70092945
39,687261.226865987
40,733341.87627078
41,793947.854516121
42,770387.838223614
43,1813000.65444058
44,605506.658691617
45,741965.757748387
46,5134755.85177592
47,2426303.59130444
48,859970.854961842
49,843881.374292866
50,2072935.98193153
51,710498.743386974
52,875842.392739578
53,639101.672372921
54,2993474.59627904
55,6920892.63734158
56,596408.017821846
57,7234008.69924317
58,661889.541832455
59,624197.478216998
60,657909.675351332
61,727392.130670735
62,676931.519350397
63,9351526.83839497
64,678650.921357777
65,1454648.9998382
66,5552519.06351808
67,3791631.07250783
68,765881.202544111
69,3063133.35179833
70,671700.749303365
71,712755.287350838
72,1151575.07905192
73,1101982.62095007
74,3607735.50961579
75,1001183.44772722
76,642085.388523657
77,3596845.26243619
78,657493.819710839
79,1430904.95047568
80,708445.92360275
81,630680.787501259
82,689390.05517649
83,1044301.77502661
84,3210338.25103358
85,4127600.27547069
86,1643787.11059375
87,820738.625167056
88,5613857.18327031
89,3176706.22044775
90,635110.415739332
91,635767.927869967
92,596349.436461176
93,677543.152377923
94,669241.576861539
95,697004.348361745
96,1480116.13335515
97,3280510.21456552
98,3811262.25607506
99,2153967.06410518
100,538346.963541221
101,675958.696162872
102,567300.188234376
103,1440674.69617155
104,567823.595512957
105,893968.984931937
106,631882.453125565
107,719583.108358511
108,687811.347137688
109,2703888.94562726
110,942760.879300185
111,860559.090780243
112,1149825.83419544
113,742586.576993569
114,3550312.67178009
115,1619509.89057961
116,790174.795779599
117,761387.859703265
118,627684.217412013
119,624042.724316949
120,631728.203778565
121,2326624.99514215
122,1451816.19945644
123,1096188.35281921
124,709533.164740837
125,3037609.40093618
126,1181017.44176154
127,667242.414590898
128,1289181.51348286
129,768985.106860399
130,619375.37483299
131,3957813.02276397
132,650153.643956854
133,1001023.05368258
134,2803176.74972164
135,657610.458559676
136,950982.70920875
137,1158258.44329991
138,665760.137354968
139,910647.742621833
140,1380933.63863569
141,2923238.5941841
142,2127098.88753554
143,8400628.97235681
144,757545.541879904
145,3482354.03685217
146,899858.140982558
147,794878.201087704
148,692745.950557859
149,586909.080480131
150,3851634.41888217
151,859144.559011982
152,1050087.12775954
153,1287501.9376682
154,668812.180161842
155,4760017.89559258
156,1100903.84162639
